IMDB ID,Budget,Gross,,,,,,,,,,,,,,
tt0090633,"$47,483,002 ",,,,,,,,,,,,,,,
tt0090713,"$12,000,000 ","$7,790,931 ",,,,,,,,,,,,,,
tt0090756,"$6,000,000 ","$8,551,228 ",,,,,,,,,,,,,,
tt0090774,"$18,000,000 ","$11,957,943 ",,,,,,,,,,,,,,
tt0090886,"$20,000,000 ","$22,905,500 ",,,,,,,,,,,,,,
tt0090888,"$5,839,031 ",,,,,,,,,,,,,,,
tt0091225,"$35,000,000 ","$16,295,774 ",,,,,,,,,,,,,,
tt0091396,"$40,000,000 ","$49,851,591 ",,,,,,,,,,,,,,
tt0091472,"$18,000,000 ","$3,900,000 ",,,,,,,,,,,,,,
tt0091541,"$10,000,000 ","$37,499,651 ",,,,,,,,,,,,,,
tt0091828,"$8,500,000 ","$16,209,459 ",,,,,,,,,,,,,,
tt0091939,"$175,000 ","$7,137,502 ",,,,,,,,,,,,,,
tt0092035,"$14,205,021 ",,,,,,,,,,,,,,,
tt0092076,"$4,700,000 ","$8,025,872 ",,,,,,,,,,,,,,
tt0092537,"$2,700,000 ",,,,,,,,,,,,,,,
tt0092546,"$548,696 ",,,,,,,,,,,,,,,
tt0092690,"$17,355,263 ",,,,,,,,,,,,,,,
tt0092758,"$719,323 ",,,,,,,,,,,,,,,
tt0092802,"$1,025,762 ",,,,,,,,,,,,,,,
tt0092804,"$29,000,000 ","$5,899,797 ",,,,,,,,,,,,,,
tt0092925,"$20,000,000 ","$57,387,516 ",,,,,,,,,,,,,,
tt0092967,,,,,,,,,,,,,,,,
tt0093148,"$29,760,613 ",,,,,,,,,,,,,,,
tt0093204,"$11,660 ",,,,,,,,,,,,,,,
tt0093215,"$4,215,859 ",,,,,,,,,,,,,,,
tt0093300,"$23,000,000 ","$20,763,013 ",,,,,,,,,,,,,,
tt0093593,,,,,,,,,,,,,,,,
tt0093640,"$15,000,000 ","$35,509,515 ",,,,,,,,,,,,,,
tt0093648,"$3,832,228 ",,,,,,,,,,,,,,,
tt0093777,"$3,000,000 ","$14,182,492 ",,,,,,,,,,,,,,
tt0093936,"$12,000,000 ","$66,995,879 ",,,,,,,,,,,,,,
tt0094138,"$6,000,000 ","$3,685,862 ",,,,,,,,,,,,,,
tt0094746,"$20,000,000 ","$43,184,798 ",,,,,,,,,,,,,,
tt0094812,"$7,000,000 ","$50,888,729 ",,,,,,,,,,,,,,
tt0095253,"$24,000,000 ","$41,455,230 ",,,,,,,,,,,,,,
tt0095489,"$12,500,000 ","$48,092,846 ",,,,,,,,,,,,,,
tt0095497,"$7,000,000 ","$7,630,564 ",,,,,,,,,,,,,,
tt0095631,"$30,000,000 ","$38,413,606 ",,,,,,,,,,,,,,
tt0095654,"$20,000,000 ","$11,444,204 ",,,,,,,,,,,,,,
tt0095690,"$6,000,000 ","$12,793,213 ",,,,,,,,,,,,,,
tt0096054,"$6,500,000 ","$14,545,844 ",,,,,,,,,,,,,,
tt0096071,"$7,000,000 ","$19,595,031 ",,,,,,,,,,,,,,
tt0096180,"$1,791,328 ",,,,,,,,,,,,,,,
tt0096256,"$4,000,000 ","$13,008,928 ",,,,,,,,,,,,,,
tt0096734,"$36,602,000 ",,,,,,,,,,,,,,,
tt0096794,"$31,000,000 ","$43,858,790 ",,,,,,,,,,,,,,
tt0096874,"$40,000,000 ","$118,500,000 ",,,,,,,,,,,,,,
tt0096969,"$14,000,000 ","$70,001,698 ",,,,,,,,,,,,,,
tt0097027,"$22,500,000 ","$18,671,317 ",,,,,,,,,,,,,,
tt0097216,"$6,500,000 ","$27,545,445 ",,,,,,,,,,,,,,
tt0097235,"$15,000,000 ","$28,890,240 ",,,,,,,,,,,,,,
tt0097351,"$64,431,625 ",,,,,,,,,,,,,,,
tt0097366,"$8,000,000 ","$35,150,960 ",,,,,,,,,,,,,,
tt0097438,"$10,000,000 ","$2,777,280 ",,,,,,,,,,,,,,
tt0097637,"$17,000,000 ","$43,247,647 ",,,,,,,,,,,,,,
tt0097662,"$4,000,000 ","$283,694 ",,,,,,,,,,,,,,
tt0097714,"$1,730,005 ",,,,,,,,,,,,,,,
tt0097778,"$7,500,000 ","$140,088,813 ",,,,,,,,,,,,,,
tt0097790,"$3,960,327 ",,,,,,,,,,,,,,,
tt0097937,,"GBP600,000",,,,,,,,,,,,,,
tt0098067,"$31,000,000 ","$100,047,830 ",,,,,,,,,,,,,,
tt0098206,"$17,000,000 ","$30,050,028 ",,,,,,,,,,,,,,
tt0098273,"$19,000,000 ","$58,571,513 ",,,,,,,,,,,,,,
tt0098335,"$11,500,000 ","$2,260,616 ",,,,,,,,,,,,,,
tt0098513,"$408,839 ",,,,,,,,,,,,,,,
